q_id,u_id,timestamp
10444659,0,2012-08-05T22:14:44
4106884,0,2012-08-05T22:15:04
7042805,58011348,2012-08-05T22:15:13
10444659,0,2012-08-05T22:16:02
3662292,0,2012-08-05T22:16:20
4030233,0,2012-08-05T22:16:26
10444659,0,2012-08-05T22:17:03
10421367,21656023,2012-08-05T22:17:25
10420042,0,2012-08-05T22:17:38
10444659,0,2012-08-05T22:18:16
10043007,0,2012-08-05T22:18:18
10043007,0,2012-08-05T22:18:18
4057275,0,2012-08-05T22:18:21
4030233,0,2012-08-05T22:18:27
3721542,0,2012-08-05T22:19:03
9793277,0,2012-08-05T22:19:18
10444659,0,2012-08-05T22:19:33
8594170,0,2012-08-05T22:19:41
10445841,0,2012-08-05T22:19:44
4107051,0,2012-08-05T22:19:47
10444659,0,2012-08-05T22:19:48
10043007,0,2012-08-05T22:19:50
10043007,0,2012-08-05T22:19:50
4106884,0,2012-08-05T22:20:05
10444659,0,2012-08-05T22:20:34
10445842,0,2012-08-05T22:20:44
4228598,0,2012-08-05T22:21:21
10072398,0,2012-08-05T22:21:38
3721542,0,2012-08-05T22:21:44
10444659,0,2012-08-05T22:21:47
10444659,0,2012-08-05T22:22:21
9698843,0,2012-08-05T22:22:36
8154526,0,2012-08-05T22:22:40
10444659,0,2012-08-05T22:23:05
10444659,0,2012-08-05T22:24:04
10445843,0,2012-08-05T22:24:31
3721542,0,2012-08-05T22:24:41
10445844,0,2012-08-05T22:24:45
10367345,58340412,2012-08-05T22:24:48
4106884,0,2012-08-05T22:25:03
10367345,58340412,2012-08-05T22:25:12
10444659,0,2012-08-05T22:25:18
10367345,58340412,2012-08-05T22:25:34
3721481,0,2012-08-05T22:26:05
3897018,0,2012-08-05T22:26:13
10444659,0,2012-08-05T22:26:37
3940615,0,2012-08-05T22:26:52
3863989,0,2012-08-05T22:27:19
3721542,0,2012-08-05T22:27:28
7039092,0,2012-08-05T22:27:33
10444659,0,2012-08-05T22:27:35
10444659,0,2012-08-05T22:27:41
3946348,0,2012-08-05T22:28:13
10444659,0,2012-08-05T22:28:50
9691707,0,2012-08-05T22:29:14
10445845,0,2012-08-05T22:29:26
9856466,0,2012-08-05T22:29:36
9603245,0,2012-08-05T22:29:37
6487889,0,2012-08-05T22:29:59
10445846,0,2012-08-05T22:30:05
4106884,0,2012-08-05T22:30:05
10444659,0,2012-08-05T22:30:08
10444659,0,2012-08-05T22:30:16
10444659,0,2012-08-05T22:31:05
3721542,0,2012-08-05T22:31:39
10444659,0,2012-08-05T22:32:21
4064470,0,2012-08-05T22:32:22
10445847,0,2012-08-05T22:33:17
5840996,0,2012-08-05T22:33:29
3721542,0,2012-08-05T22:33:39
10444659,0,2012-08-05T22:33:39
9690279,0,2012-08-05T22:34:01
9862246,0,2012-08-05T22:34:05
10444659,0,2012-08-05T22:34:36
4106884,0,2012-08-05T22:35:05
10445848,0,2012-08-05T22:35:07
10434910,58349671,2012-08-05T22:35:21
3733966,0,2012-08-05T22:35:32
10444659,0,2012-08-05T22:35:35
10436683,58349671,2012-08-05T22:35:46
10444659,0,2012-08-05T22:35:53
10445849,0,2012-08-05T22:35:58
10434910,58349671,2012-08-05T22:36:05
3387885,0,2012-08-05T22:36:07
10426972,0,2012-08-05T22:36:11
10426974,0,2012-08-05T22:36:57
10444659,0,2012-08-05T22:37:11
3721481,0,2012-08-05T22:37:21
5840996,0,2012-08-05T22:37:34
10433667,0,2012-08-05T22:37:56
5778647,0,2012-08-05T22:38:03
10444659,0,2012-08-05T22:38:06
10444659,0,2012-08-05T22:38:10
3721542,0,2012-08-05T22:38:35
3721542,0,2012-08-05T22:38:36
10444659,0,2012-08-05T22:39:24
3721542,0,2012-08-05T22:39:27
10445850,0,2012-08-05T22:39:42
4792605,0,2012-08-05T22:39:52
7086470,0,2012-08-05T22:40:03
4106884,0,2012-08-05T22:40:05
9346100,0,2012-08-05T22:40:11
5778647,0,2012-08-05T22:40:28
5842294,0,2012-08-05T22:40:39
10444659,0,2012-08-05T22:40:43
10445851,58329564,2012-08-05T22:40:45
7199706,0,2012-08-05T22:40:48
5842294,0,2012-08-05T22:41:07
10444659,0,2012-08-05T22:41:37
7175619,0,2012-08-05T22:42:00
10445852,0,2012-08-05T22:42:13
10445853,0,2012-08-05T22:42:21
7084603,0,2012-08-05T22:42:52
3808671,0,2012-08-05T22:42:54
10444659,0,2012-08-05T22:42:56
5950862,0,2012-08-05T22:43:03
10444659,0,2012-08-05T22:43:28
10445851,58329564,2012-08-05T22:43:37
3944088,0,2012-08-05T22:43:43
10415602,0,2012-08-05T22:43:51
6774282,58351020,2012-08-05T22:43:52
10415603,0,2012-08-05T22:43:53
10445854,58329564,2012-08-05T22:43:54
10415604,0,2012-08-05T22:43:54
5950862,0,2012-08-05T22:43:54
10415605,0,2012-08-05T22:43:55
10415606,0,2012-08-05T22:43:56
10415607,0,2012-08-05T22:43:57
10415608,0,2012-08-05T22:44:00
10415610,0,2012-08-05T22:44:02
7175619,0,2012-08-05T22:44:02
10445855,0,2012-08-05T22:44:02
10415611,0,2012-08-05T22:44:03
10415612,0,2012-08-05T22:44:04
10415613,0,2012-08-05T22:44:06
10415614,0,2012-08-05T22:44:07
10415615,0,2012-08-05T22:44:08
10415616,0,2012-08-05T22:44:09
10415618,0,2012-08-05T22:44:11
10415619,0,2012-08-05T22:44:12
10444659,0,2012-08-05T22:44:14
10415620,0,2012-08-05T22:44:16
10420412,0,2012-08-05T22:44:17
10420413,0,2012-08-05T22:44:19
9660127,0,2012-08-05T22:44:32
3784406,0,2012-08-05T22:44:34
10420505,0,2012-08-05T22:44:38
10420682,0,2012-08-05T22:44:39
10367411,0,2012-08-05T22:44:41
10313929,0,2012-08-05T22:44:42
10368717,0,2012-08-05T22:44:44
10353604,0,2012-08-05T22:44:45
10367412,0,2012-08-05T22:44:46
10353605,0,2012-08-05T22:44:48
10367413,0,2012-08-05T22:44:49
10370761,0,2012-08-05T22:44:50
10368718,0,2012-08-05T22:44:51
10368719,0,2012-08-05T22:44:53
10313931,0,2012-08-05T22:44:54
10368720,0,2012-08-05T22:44:55
10313932,0,2012-08-05T22:44:56
10367502,0,2012-08-05T22:44:57
10367414,0,2012-08-05T22:44:58
10313933,0,2012-08-05T22:45:00
10367415,0,2012-08-05T22:45:01
